"SP";"YEAR";"AGE_first";"MIGRATION";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup";"HABITAT"
"ERIRUB";1991;"AD";"Court";14,6973333333333;15,5733333333333;15,5733333333333;17,4788732394366;19,9978873239437;"Terrestre"
"PARCAE";1991;"AD";"Court";11,2578125;11,2578125;11,2578125;11,2578125;11,2578125;"Terrestre"
"PARMAJ";1991;"AD";"Court";15,996317512275;16,3461538461538;16,9014084507042;17,0212765957447;17,4213057417662;"Terrestre"
"PHYCOL";1991;"AD";"Court";6,82644628099174;7,00625;7,62339791356185;7,86666666666667;8,36317733990148;"Terrestre"
"PRUMOD";1991;"AD";"Court";17,7955428337763;18,1046820691065;18,3066693330667;18,6496350364963;19,3394160583942;"Terrestre"
"SYLATR";1991;"AD";"Court";14,2782051282051;15;15,8926174496644;16,6760563380282;17,532;"Terrestre"
"TURMER";1991;"AD";"Court";77,1011764705882;80,3137254901961;84,6769230769231;88,6929133858268;96,2187636363636;"Terrestre"
"PARMAJ";1992;"AD";"Court";17,4657534246575;17,4657534246575;17,4657534246575;17,4657534246575;17,4657534246575;"Terrestre"
"PHYCOL";1992;"AD";"Court";6,77049180327869;6,77049180327869;6,77049180327869;6,77049180327869;6,77049180327869;"Terrestre"
"PRUMOD";1992;"AD";"Court";17,7464788732394;17,7464788732394;17,7464788732394;17,7464788732394;17,7464788732394;"Terrestre"
"SYLATR";1992;"AD";"Court";15,8555411255411;16,4465800865801;16,8866666666667;18,31;18,7466666666667;"Terrestre"
"TURMER";1992;"AD";"Court";76,2261208576998;79,5945419103314;82,2672064777328;84,409518539015;86,3459878251245;"Terrestre"
"ERIRUB";1993;"AD";"Court";14,5122629107981;15,5733333333333;15,7837837837838;15,7837837837838;19,3351351351351;"Terrestre"
"PARCAE";1993;"AD";"Court";10,6348056722689;10,987762605042;11,3799369747899;11,7721113445378;12,1250682773109;"Terrestre"
"PARMAJ";1993;"AD";"Court";16,8107876712329;17,1210346070656;17,4657534246575;17,7328767123288;17,9732876712329;"Terrestre"
"PHYCOL";1993;"AD";"Court";6,06612903225806;6,66129032258065;6,71544715447155;6,71544715447155;6,79846779237023;"Terrestre"
"PRUMOD";1993;"AD";"Court";15,5884194053208;16,1512128325509;18,2608695652174;19,6603148301574;21,7374890254609;"Terrestre"
"SYLATR";1993;"AD";"Court";14,8270715200293;16,4444444444444;17,4722222222222;18,2597402597403;23,2578947368421;"Terrestre"
"TURMER";1993;"AD";"Court";84,0159679774977;85,6509131156613;86,0079051383399;94,0154877334548;98,748347107438;"Terrestre"
"ERIRUB";1994;"AD";"Court";15,3684210526316;15,3684210526316;15,3684210526316;15,3684210526316;15,3684210526316;"Terrestre"
"PARCAE";1994;"AD";"Court";11,6209677419355;11,6209677419355;11,6209677419355;11,6209677419355;11,6209677419355;"Terrestre"
"PARMAJ";1994;"AD";"Court";16,5584415584416;16,5584415584416;16,5584415584416;16,5584415584416;16,5584415584416;"Terrestre"
"PHYCOL";1994;"AD";"Court";8,20869565217391;8,20869565217391;8,52934782608696;8,85;8,85;"Terrestre"
"PRUMOD";1994;"AD";"Court";19,292270531401;19,4444444444444;19,5588235294118;20,5882352941176;20,8247809762203;"Terrestre"
"SYLATR";1994;"AD";"Court";15,8195555555556;16,1155555555556;16,4444444444444;17,5955555555556;18,6315555555556;"Terrestre"
"TURMER";1994;"AD";"Court";80,7020735785953;83,0358974358974;88,6929133858268;92,0790513833992;101,910303030303;"Terrestre"
"ERIRUB";1995;"AD";"Court";15,3664149184149;15,7837837837838;16;17,52;20,7696303696304;"Terrestre"
"PARMAJ";1995;"AD";"Court";19,0140845070423;19,0140845070423;19,0140845070423;19,0140845070423;19,0140845070423;"Terrestre"
"PHYCOL";1995;"AD";"Court";6,69678080380751;7,0750442086649;7,83523901363824;8,05128205128205;9,11051948051948;"Terrestre"
"PRUMOD";1995;"AD";"Court";16,1151079136691;16,1151079136691;18,4096666328909;20,7308717167872;20,8028169014085;"Terrestre"
"SYLATR";1995;"AD";"Court";15,8830909090909;16,6644155844156;17,1164383561644;17,5847368421053;17,958;"Terrestre"
"TURMER";1995;"AD";"Court";81,7609550561798;84,75;90,5142857142857;92,3136960600375;94,9415384615385;"Terrestre"
"ERIRUB";1996;"AD";"Court";13,5520833333333;15,3415531836584;16,3356643356643;17,5231152204836;19,5465250965251;"Terrestre"
"PARCAE";1996;"AD";"Court";10,1107634902411;10,4153272101033;10,7537313432836;10,9911513859275;11,204829424307;"Terrestre"
"PARMAJ";1996;"AD";"Court";17,5324675324675;17,5324675324675;17,5324675324675;19,7662337662338;21,7766233766234;"Terrestre"
"PHYCOL";1996;"AD";"Court";6,68313061872025;6,77049180327869;7,64814814814815;7,73770491803279;8,05788581119276;"Terrestre"
"PRUMOD";1996;"AD";"Court";18,5909722222222;19,1792929292929;20,1449275362319;20,3849637681159;22,7156862745098;"Terrestre"
"SYLATR";1996;"AD";"Court";15,5789473684211;16,3310344827586;17,5263157894737;18,5;19,1603318541385;"Terrestre"
"TURMER";1996;"AD";"Court";85,4183266932271;86,8709677419355;91,4285714285714;93,7769230769231;97,6753712237583;"Terrestre"
"PRUMOD";1997;"AD";"Court";17,6773648648649;18,9189189189189;18,9189189189189;19,6177894312223;19,8631000403388;"Terrestre"
"SYLATR";1997;"AD";"Court";16;16;16;16;16;"Terrestre"
"TURMER";1997;"AD";"Court";77,5757575757576;84,4491978609626;88,4329411764706;95,04;97,3770491803279;"Terrestre"
"ERIRUB";1998;"AD";"Court";15,7837837837838;15,7837837837838;15,7837837837838;15,7837837837838;15,7837837837838;"Terrestre"
"PARMAJ";1998;"AD";"Court";16,2162162162162;16,2162162162162;16,3873288873289;16,5584415584416;16,5584415584416;"Terrestre"
"PHYCOL";1998;"AD";"Court";6,71544715447155;6,71544715447155;6,77049180327869;7,64814814814815;7,82296296296296;"Terrestre"
"PRUMOD";1998;"AD";"Court";15,8666666666667;16,5277777777778;17,9047619047619;19,9137323943662;21,9586956521739;"Terrestre"
"SYLATR";1998;"AD";"Court";14,9873417721519;15;16,0544217687075;17,1156462585034;17,2328767123288;"Terrestre"
"TURMER";1998;"AD";"Court";79,5151515151515;83,8787878787879;90,5975501508965;99,4198473282443;105,96641221374;"Terrestre"
"ERIRUB";1999;"AD";"Court";14,8274958632101;15,9366197183099;16,6020066889632;18,7432432432432;19,4030597771023;"Terrestre"
"PARCAE";1999;"AD";"Court";10,5955882352941;10,5955882352941;10,5955882352941;10,5955882352941;10,5955882352941;"Terrestre"
"PARMAJ";1999;"AD";"Court";15,5806451612903;16,4516129032258;17;17,0886075949367;17,6463607594937;"Terrestre"
"PHYCOL";1999;"AD";"Court";6,26548672566372;6,26548672566372;6,88333333333333;7,96031746031746;8,60819672131148;"Terrestre"
"PRUMOD";1999;"AD";"Court";16,3013698630137;17,1013739492;18,3665458937198;19,136690647482;20,2223109286294;"Terrestre"
"SYLATR";1999;"AD";"Court";14,9503875270368;16,6348466364587;17,1361751982696;18,5;22,8458333333333;"Terrestre"
"TURMER";1999;"AD";"Court";79,9636300052457;86,1363636363636;88,6153846153846;95,4706708173106;105,729508196721;"Terrestre"
"ERIRUB";2000;"AD";"Court";14,7889072847682;15,8695652173913;16,5529673029673;17;18,5070422535211;"Terrestre"
"PARCAE";2000;"AD";"Court";9,92424242424243;9,92424242424243;9,92424242424243;9,92424242424243;9,92424242424243;"Terrestre"
"PARMAJ";2000;"AD";"Court";16,0837662337662;16,7792207792208;17,0886075949367;17,8815789473684;19,4763157894737;"Terrestre"
"PHYCOL";2000;"AD";"Court";6,60915256248023;6,84821428571429;7,34452479338843;8,04861111111111;8,96132075471698;"Terrestre"
"PRUMOD";2000;"AD";"Court";17,325;18,4722222222222;19;19,4021739130435;20,9746376811594;"Terrestre"
"SYLATR";2000;"AD";"Court";15,1901311981478;16,5255847953216;17,2328767123288;18,2465753424658;21,0035714285714;"Terrestre"
"TURMER";2000;"AD";"Court";75,7620512820513;85,501312335958;89,3023255813954;92,3889430894309;97,3223140495868;"Terrestre"
"ERIRUB";2001;"AD";"Court";14,6538926174497;16;16,5466666666667;17,52;20,6669219066937;"Terrestre"
"PARCAE";2001;"AD";"Court";10,3846416170635;11,4670868347339;11,5588235294118;11,6882133450395;11,8085231736057;"Terrestre"
"PARMAJ";2001;"AD";"Court";15,1898734177215;16,3265306122449;17,042004048583;18,1232876712329;20,5288461538462;"Terrestre"
"PHYCOL";2001;"AD";"Court";6,54932302456348;7,27358747447243;7,77780536246276;8,53052995391705;9,83333333333333;"Terrestre"
"PRUMOD";2001;"AD";"Court";15,3732876712329;18,4722222222222;19,2017171522284;19,8880597014925;21,304347826087;"Terrestre"
"SYLATR";2001;"AD";"Court";14,700782811459;16,6760563380282;17,2328767123288;18,4506666666667;20,6993006993007;"Terrestre"
"TURMER";2001;"AD";"Court";76,4189312977099;83,3939393939394;87,2727272727273;91,6810297272449;105,639014478029;"Terrestre"
"ERIRUB";2002;"AD";"Court";14,8986486486486;15,7837837837838;16,6857142857143;17,538961038961;22,9695813771518;"Terrestre"
"PARCAE";2002;"AD";"Court";9,18991004962779;9,97087158808933;10,2649253731343;10,5267857142857;11,5534931113662;"Terrestre"
"PARMAJ";2002;"AD";"Court";16,1389794967381;16,8654336734694;17,335441218741;17,8672082228117;20,6969572368421;"Terrestre"
"PHYCOL";2002;"AD";"Court";6,57653333333333;7,24561403508772;7,61290322580645;7,9372197309417;9,69285714285714;"Terrestre"
"PRUMOD";2002;"AD";"Court";17;18,2394366197183;19,2253521126761;20,2898550724638;21,5223880597015;"Terrestre"
"SYLATR";2002;"AD";"Court";15,5789473684211;16,5;17,2497716894977;18,2516438356164;21,9715682569674;"Terrestre"
"TURMER";2002;"AD";"Court";78,9172932330827;83,5946275946276;86,1826031746032;90,4436701509872;105,071355311355;"Terrestre"
"ERIRUB";2003;"AD";"Court";14,0677083333333;15,5183333333333;16,0884415584416;17,1770833333333;22,3201388888889;"Terrestre"
"PARCAE";2003;"AD";"Court";9,86291840430202;10,5483897058824;10,742;10,7903401080827;11,0540186150861;"Terrestre"
"PARMAJ";2003;"AD";"Court";15,4242664551943;16,5865384615385;17,0886075949367;18,2432432432432;20,2984234234234;"Terrestre"
"PHYCOL";2003;"AD";"Court";6,32142857142857;7,33911951348493;7,552;7,89971988795518;9,7787037037037;"Terrestre"
"PRUMOD";2003;"AD";"Court";17,1815531039358;18,3072586706754;19;20;21,9308716965047;"Terrestre"
"SYLATR";2003;"AD";"Court";15;16,5035971223022;17,5263157894737;18,5;21,2637750377699;"Terrestre"
"TURMER";2003;"AD";"Court";75,8518518518518;83,6327543424318;87,157391001469;90,9489622105861;102,468965517241;"Terrestre"
"ERIRUB";2004;"AD";"Court";14,7085135135135;15,7152777777778;16,4370860927152;17,2062908496732;21,4275709219858;"Terrestre"
"PARCAE";2004;"AD";"Court";9,32936043123543;10,3246783088235;10,7555153066783;11,4402714932127;12,7347115384615;"Terrestre"
"PARMAJ";2004;"AD";"Court";14,9707792207792;16,8269230769231;17,34375;18,0194805194805;20,3676896352056;"Terrestre"
"PHYCOL";2004;"AD";"Court";6,63331290322581;7,15466634091861;7,50909090909091;7,9384917212832;9,49363636363637;"Terrestre"
"PRUMOD";2004;"AD";"Court";16,7605469157708;18,0645161290323;18,8848920863309;19,5588235294118;23,6616589081676;"Terrestre"
"SYLATR";2004;"AD";"Court";14,6994410958904;16,2191780821918;17;17,8791946308725;21,7681643835616;"Terrestre"
"TURMER";2004;"AD";"Court";77,3892682926829;84,030534351145;87,1884057971015;91,5692307692308;103,613046153846;"Terrestre"
"ERIRUB";2005;"AD";"Court";14,85;16;16,79;17,4882608695652;23,1465517241379;"Terrestre"
"PARCAE";2005;"AD";"Court";9,69633928571428;10,4428113553114;10,7572228144989;11,324295644685;13,1562890625;"Terrestre"
"PARMAJ";2005;"AD";"Court";15,3271728271728;16,6666666666667;17,5;18,5667752442997;20,7456140350877;"Terrestre"
"PHYCOL";2005;"AD";"Court";6,91651785714286;7,21318386509533;7,5;7,96664521664522;9,00398206278027;"Terrestre"
"PRUMOD";2005;"AD";"Court";16,1294117647059;18;18,7978510744628;19,8706985903814;22,6424382233344;"Terrestre"
"SYLATR";2005;"AD";"Court";15,3558008658009;16,265;17,1264214046823;18,1827522675737;21,1573464912281;"Terrestre"
"TURMER";2005;"AD";"Court";79,111954459203;84,0076335877863;87,8969957081545;93,4265734265734;103,424;"Terrestre"
"ERIRUB";2006;"AD";"Court";12,9696666666667;15,6138888888889;16,1950037285608;16,8843537414966;21,9846920289855;"Terrestre"
"PARCAE";2006;"AD";"Court";10,3131851604278;10,8502389695168;11,0846153846154;11,2151079136691;11,8199712121212;"Terrestre"
"PARMAJ";2006;"AD";"Court";16,0649671052632;17,1157323688969;17,5925925925926;18,625;21,1824324324324;"Terrestre"
"PHYCOL";2006;"AD";"Court";6,51458333333333;7,2843237704918;7,56099706744868;8,04142765555406;9,46458333333333;"Terrestre"
"PRUMOD";2006;"AD";"Court";16,9482327181733;18,2242427165734;19;19,8559324267341;21,7789473684211;"Terrestre"
"SYLATR";2006;"AD";"Court";14,8993288590604;16,4444444444444;17,2328767123288;18;21,4904109589041;"Terrestre"
"TURMER";2006;"AD";"Court";77,3803787503936;83,3015873015873;86,6771653543307;91,0671936758893;105,453659800492;"Terrestre"
"ERIRUB";2007;"AD";"Court";14,661006401138;15,6790674603175;16,4370860927152;17;22,2730496453901;"Terrestre"
"PARCAE";2007;"AD";"Court";9,90912346117424;10,5463014460512;10,9603333333333;11,2578125;11,862889596137;"Terrestre"
"PARMAJ";2007;"AD";"Court";15,3472668810289;16,5584415584416;17,2297297297297;18,3116883116883;19,8176601258793;"Terrestre"
"PHYCOL";2007;"AD";"Court";6,46179467084639;7,19512195121951;7,61290322580645;8,232926480063;9,93537735849057;"Terrestre"
"PRUMOD";2007;"AD";"Court";16,4200561009818;18,2258408099845;19,1780821917808;20;21,9402985074627;"Terrestre"
"SYLATR";2007;"AD";"Court";15,2384246575342;16,5526315789474;17,5263157894737;18,7483561643836;21,3167293233083;"Terrestre"
"TURMER";2007;"AD";"Court";77,746365914787;83,6628869138829;88,3809523809524;93,4089068825911;103,433493245106;"Terrestre"
"ERIRUB";2008;"AD";"Court";14,6557638888889;15,6428571428571;16,4507042253521;17,1476510067114;20,6376369327073;"Terrestre"
"PARCAE";2008;"AD";"Court";9,59011877828054;10,5807692307692;11,0386029411765;11,4306006493506;12,5574498746867;"Terrestre"
"PARMAJ";2008;"AD";"Court";15,5844155844156;16,952007154213;17,610658124636;18,2565789473684;19,9105960264901;"Terrestre"
"PHYCOL";2008;"AD";"Court";6,62068270300334;7,25967843631778;7,64456587735276;8,04545454545454;9,97061190929548;"Terrestre"
"PRUMOD";2008;"AD";"Court";16,2769994090417;18,1323335697639;19,0220588235294;19,7183098591549;21,8115942028986;"Terrestre"
"SYLATR";2008;"AD";"Court";14,7763829787234;16,28;17,2987012987013;18,5;20,5795815295815;"Terrestre"
"TURMER";2008;"AD";"Court";76,6444859813084;84,3967201426025;88,0124031007752;91,8591479931052;102,121454651672;"Terrestre"
"ERIRUB";2009;"AD";"Court";14,3873037439614;15,7269793993547;16,4507042253521;17,0333333333333;19,0847083514257;"Terrestre"
"PARCAE";2009;"AD";"Court";9,8066697761194;10,124237631099;10,9510198135198;11,4835707720588;12,8305249054224;"Terrestre"
"PARMAJ";2009;"AD";"Court";15,210020242915;16,6666666666667;17,4295774647887;18,1967213114754;19,8523706896552;"Terrestre"
"PHYCOL";2009;"AD";"Court";6,68832478005865;7,26153846153846;7,61290322580645;7,90074873453318;9,49233069407008;"Terrestre"
"PRUMOD";2009;"AD";"Court";17,5627240143369;18,445520344288;19,2028880866426;20;21,3493083003953;"Terrestre"
"SYLATR";2009;"AD";"Court";14,8;16,3892617449664;17,1971830985915;18,2465753424658;21,1463505747126;"Terrestre"
"TURMER";2009;"AD";"Court";77,7060848484848;85,2571428571429;88,482207697894;91,7017643710871;100,204615384615;"Terrestre"
"ERIRUB";2010;"AD";"Court";14,6979865771812;15,7450980392157;16,5;17,2361111111111;20,4195804195804;"Terrestre"
"PARCAE";2010;"AD";"Court";10,234375;10,5807692307692;10,9166666666667;11,3402985074627;12,4761904761905;"Terrestre"
"PARMAJ";2010;"AD";"Court";15,7196302816901;16,7763157894737;17,4425541316836;18,0379746835443;20,0182852250489;"Terrestre"
"PHYCOL";2010;"AD";"Court";6,68291788856305;7,27753303964758;7,64814814814815;8;9,52638777152051;"Terrestre"
"PRUMOD";2010;"AD";"Court";16,8816024401131;18,4343971631206;19,136690647482;20;24,0037313432836;"Terrestre"
"SYLATR";2010;"AD";"Court";15,1624511804139;16,4444444444444;17,2408987878191;18,2465753424658;20,9130434782609;"Terrestre"
"TURMER";2010;"AD";"Court";78,2842377260982;84,6647171010807;87,8404333907905;92,5923393478949;179,89694041868;"Terrestre"
"ERIRUB";2011;"AD";"Court";14,4723008888114;15,5831981981982;16,3617097188526;16,9735915492958;21,9600096711799;"Terrestre"
"PARCAE";2011;"AD";"Court";9,90541294642857;10,5454523405287;10,7020689236743;10,9166666666667;12,5415898617512;"Terrestre"
"PARMAJ";2011;"AD";"Court";15,4935855263158;16,5;17;17,4657534246575;18,7433978873239;"Terrestre"
"PHYCOL";2011;"AD";"Court";6,505625;7,11598020434227;7,48417721518987;7,92052106430155;9,4372224025974;"Terrestre"
"PRUMOD";2011;"AD";"Court";16,5513513513514;18;18,9583333333333;19,7510764715787;22,4756632820177;"Terrestre"
"SYLATR";2011;"AD";"Court";14,8;16,1066326530612;17,0394736842105;18,1224489795918;20,8047315436242;"Terrestre"
"TURMER";2011;"AD";"Court";76,5622792559454;83,6466501240695;87,741935483871;92,2519536766783;111,901030927835;"Terrestre"
"ERIRUB";2012;"AD";"Court";14,7952585585586;15,8246710526316;16,468889527642;17,60625;22,595;"Terrestre"
"PARCAE";2012;"AD";"Court";9,87698412698413;10,2649253731343;10,7418993340164;11,0790582579186;12,4625146520147;"Terrestre"
"PARMAJ";2012;"AD";"Court";15,388117677025;16,6246118012422;17,2974631751228;18,0094936708861;20,678490990991;"Terrestre"
"PHYCOL";2012;"AD";"Court";6,77437792740047;7,23505191550304;7,64814814814815;8,07602150537634;9,99376352813853;"Terrestre"
"PRUMOD";2012;"AD";"Court";16,9734848484848;18,0034965034965;19;19,7826086956522;23,6803853011645;"Terrestre"
"SYLATR";2012;"AD";"Court";14,9922545808622;16,3310344827586;17;18,2482876712329;21,0881773399015;"Terrestre"
"TURMER";2012;"AD";"Court";78,3227435342372;83,3939393939394;87,2220292436725;90,5804783451842;106,055957230143;"Terrestre"
"ERIRUB";2013;"AD";"Court";15,2138636363636;16,1677852348993;16,7291666666667;17,7430555555556;21,4507194244604;"Terrestre"
"PARCAE";2013;"AD";"Court";8,1875;10,3968253968254;10,7137546468401;11,0421455938697;11,79;"Terrestre"
"PARMAJ";2013;"AD";"Court";15,7420241528479;16,5;17,5324675324675;18,2432432432432;20,5145547945205;"Terrestre"
"PHYCOL";2013;"AD";"Court";6,21478390461997;7,22168458781362;7,59848484848485;8,01416666666667;9,44;"Terrestre"
"PRUMOD";2013;"AD";"Court";17,2602739726027;18,6620514521974;19,696175378015;20,6986235595391;23,4935266999616;"Terrestre"
"SYLATR";2013;"AD";"Court";15,0508474576271;16,4444444444444;17,2328767123288;18,1452054794521;22;"Terrestre"
"TURMER";2013;"AD";"Court";78,5622377622378;84,2056958840696;87,3840322198531;92,5269333333333;102;"Terrestre"
"ERIRUB";2014;"AD";"Court";14,6769727891156;15,6778523489933;16,5931972789116;17,505;20,8383425731695;"Terrestre"
"PARCAE";2014;"AD";"Court";9,61475409836066;10,5645161290323;10,8381294964029;11,0846153846154;12,543165374677;"Terrestre"
"PARMAJ";2014;"AD";"Court";16,122882728619;16,8506493506494;17,4017303994873;18,4271546803653;20,0772635135135;"Terrestre"
"PHYCOL";2014;"AD";"Court";6,82433081454918;7,27491071428572;7,64814814814815;7,86666666666667;9,73592767295598;"Terrestre"
"PRUMOD";2014;"AD";"Court";17,2830823928677;18,4338450292398;19,2753623188406;19,9540441176471;21,9007352941176;"Terrestre"
"SYLATR";2014;"AD";"Court";15,3565108892922;16,4514840182648;17,2666666666667;17,76;21,1884688175919;"Terrestre"
"TURMER";2014;"AD";"Court";78,015;83,694338207724;87,9547169811321;92,7667626079339;107,293055214724;"Terrestre"
"ERIRUB";2015;"AD";"Court";14,2203089569161;15,5733333333333;16,311724137931;17,2020833333333;20,3670440821256;"Terrestre"
